timestamp,symbol,open,high,low,close,volume
2024-01-01 21:00:00,RB2405,3600.0,3600.69,3596.95,3597.8,53.84
2024-01-01 21:01:00,RB2405,3597.8,3598.38,3594.69,3595.4,73.18
2024-01-01 21:02:00,RB2405,3595.4,3595.68,3592.44,3593.22,65.69
2024-01-01 21:03:00,RB2405,3593.22,3596.82,3592.64,3595.98,56.71
2024-01-01 21:04:00,RB2405,3595.98,3601.13,3595.57,3600.6,46.34
2024-01-01 21:05:00,RB2405,3600.6,3601.41,3600.09,3600.78,59.25
2024-01-01 21:06:00,RB2405,3600.78,3602.04,3599.9,3601.27,62.52
2024-01-01 21:07:00,RB2405,3601.27,3602.04,3597.8,3598.05,57.94
2024-01-01 21:08:00,RB2405,3598.05,3598.65,3594.99,3595.39,62.57
2024-01-01 21:09:00,RB2405,3595.39,3601.92,3594.58,3601.33,44.12
2024-01-01 21:10:00,RB2405,3601.33,3602.1,3600.24,3600.81,64.44
2024-01-01 21:11:00,RB2405,3600.81,3601.35,3600.07,3601.0,50.26
2024-01-01 21:12:00,RB2405,3601.0,3604.84,3600.23,3604.37,60.03
2024-01-01 21:13:00,RB2405,3604.37,3606.53,3603.52,3606.08,58.51
2024-01-01 21:14:00,RB2405,3606.08,3609.11,3605.45,3608.36,50.64
2024-01-01 21:15:00,RB2405,3608.36,3610.46,3607.35,3609.74,55.48
2024-01-01 21:16:00,RB2405,3609.74,3611.47,3609.07,3610.74,62.5
2024-01-01 21:17:00,RB2405,3610.74,3611.52,3610.39,3611.07,55.24
2024-01-01 21:18:00,RB2405,3611.07,3613.11,3610.22,3612.13,72.64
2024-01-01 21:19:00,RB2405,3612.13,3614.3,3611.48,3613.53,69.26
2024-01-01 21:20:00,RB2405,3613.53,3617.24,3613.1,3616.72,83.52
2024-01-01 21:21:00,RB2405,3616.72,3618.01,3615.9,3617.16,46.37
2024-01-01 21:22:00,RB2405,3617.16,3622.59,3616.52,3621.54,69.03
2024-01-01 21:23:00,RB2405,3621.54,3622.15,3620.97,3621.77,64.49
2024-01-01 21:24:00,RB2405,3621.77,3624.56,3621.16,3623.78,76.26
2024-01-01 21:25:00,RB2405,3623.78,3624.58,3621.53,3622.41,56.5
2024-01-01 21:26:00,RB2405,3622.41,3622.78,3618.53,3619.19,66.33
2024-01-01 21:27:00,RB2405,3619.19,3622.32,3618.59,3621.97,67.79
2024-01-01 21:28:00,RB2405,3621.97,3621.98,3620.89,3621.69,87.75
2024-01-01 21:29:00,RB2405,3621.69,3623.87,3621.19,3623.5,62.66
2024-01-01 21:30:00,RB2405,3623.5,3628.73,3622.87,3627.98,78.69
2024-01-01 21:31:00,RB2405,3627.98,3629.04,3627.4,3627.83,54.3
2024-01-01 21:32:00,RB2405,3627.83,3630.08,3627.07,3629.13,63.62
2024-01-01 21:33:00,RB2405,3629.13,3629.55,3625.4,3625.85,53.6
2024-01-01 21:34:00,RB2405,3625.85,3627.42,3625.05,3626.91,60.99
2024-01-01 21:35:00,RB2405,3626.91,3627.53,3625.6,3626.31,70.3
2024-01-01 21:36:00,RB2405,3626.31,3626.85,3625.19,3625.45,79.25
2024-01-01 21:37:00,RB2405,3625.45,3628.62,3624.97,3628.06,45.17
2024-01-01 21:38:00,RB2405,3628.06,3629.02,3626.91,3628.37,62.96
2024-01-01 21:39:00,RB2405,3628.37,3628.38,3626.01,3626.97,62.27
2024-01-01 21:40:00,RB2405,3626.97,3627.61,3623.87,3624.07,101.76
2024-01-01 21:41:00,RB2405,3624.07,3626.83,3623.51,3626.08,34.32
2024-01-01 21:42:00,RB2405,3626.08,3626.29,3625.11,3625.86,34.33
2024-01-01 21:43:00,RB2405,3625.86,3626.76,3623.21,3624.22,45.83
2024-01-01 21:44:00,RB2405,3624.22,3625.04,3620.65,3621.46,48.16
2024-01-01 21:45:00,RB2405,3621.46,3621.89,3619.91,3620.21,51.84
2024-01-01 21:46:00,RB2405,3620.21,3623.23,3619.1,3622.46,58.96
2024-01-01 21:47:00,RB2405,3622.46,3622.82,3621.65,3622.22,44.24
2024-01-01 21:48:00,RB2405,3622.22,3622.99,3618.06,3619.02,70.04
2024-01-01 21:49:00,RB2405,3619.02,3622.08,3618.6,3621.42,61.04
2024-01-01 21:50:00,RB2405,3621.42,3621.74,3620.57,3620.74,42.21
2024-01-01 21:51:00,RB2405,3620.74,3621.38,3620.25,3620.73,77.15
2024-01-01 21:52:00,RB2405,3620.73,3621.8,3619.83,3621.06,50.16
2024-01-01 21:53:00,RB2405,3621.06,3621.84,3617.08,3617.51,75.73
2024-01-01 21:54:00,RB2405,3617.51,3618.97,3616.72,3618.12,35.03
2024-01-01 21:55:00,RB2405,3618.12,3619.84,3617.71,3619.41,54.78
2024-01-01 21:56:00,RB2405,3619.41,3621.62,3618.56,3620.8,40.08
2024-01-01 21:57:00,RB2405,3620.8,3620.8,3619.16,3619.73,67.2
2024-01-01 21:58:00,RB2405,3619.73,3620.39,3617.7,3618.36,72.09
2024-01-01 21:59:00,RB2405,3618.36,3618.75,3616.47,3616.88,81.03
2024-01-01 22:00:00,RB2405,3616.88,3619.41,3616.22,3618.84,61.37
2024-01-01 22:01:00,RB2405,3618.84,3619.76,3618.33,3619.21,44.92
2024-01-01 22:02:00,RB2405,3619.21,3620.22,3617.32,3618.05,60.78
2024-01-01 22:03:00,RB2405,3618.05,3618.67,3616.98,3617.67,52.25
2024-01-01 22:04:00,RB2405,3617.67,3618.68,3617.25,3618.02,50.53
2024-01-01 22:05:00,RB2405,3618.02,3618.35,3615.4,3616.22,31.68
2024-01-01 22:06:00,RB2405,3616.22,3616.67,3615.3,3615.74,61.17
2024-01-01 22:07:00,RB2405,3615.74,3618.39,3615.18,3617.77,52.65
